ano;municipio_ibge;municipio;uf;especie_codigo_sidra;especie;cabecas;marcador_ibge;data_extracao;fonte_url
2021;5002704;Campo Grande;MS;2675;Bubalino;108;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2021;5002704;Campo Grande;MS;2681;Caprino;780;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2021;5002704;Campo Grande;MS;2680;Codornas;;-;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2021;5002704;Campo Grande;MS;2672;Equino;16157;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2021;5002704;Campo Grande;MS;32793;Galináceos - galinhas;37907;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2021;5002704;Campo Grande;MS;32796;Galináceos - total;375269;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2021;5002704;Campo Grande;MS;2677;Ovino;13287;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2021;5002704;Campo Grande;MS;32795;Suíno - matrizes de suínos;9205;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2021;5002704;Campo Grande;MS;32794;Suíno - total;63713;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;2670;Bovino;415630;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;2675;Bubalino;100;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;2681;Caprino;699;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;2680;Codornas;;-;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;2672;Equino;16188;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;32793;Galináceos - galinhas;30705;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;32796;Galináceos - total;303968;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;2677;Ovino;12591;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;32795;Suíno - matrizes de suínos;12067;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2022;5002704;Campo Grande;MS;32794;Suíno - total;58490;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;2670;Bovino;428639;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;2675;Bubalino;103;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;2681;Caprino;566;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;2680;Codornas;;-;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;2672;Equino;13235;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;32793;Galináceos - galinhas;29170;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;32796;Galináceos - total;288769;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;2677;Ovino;10199;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;32795;Suíno - matrizes de suínos;11255;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2023;5002704;Campo Grande;MS;32794;Suíno - total;48445;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;2670;Bovino;427468;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;2675;Bubalino;102;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;2681;Caprino;459;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;2680;Codornas;;-;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;2672;Equino;12471;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;32793;Galináceos - galinhas;193521;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;32796;Galináceos - total;306855;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;2677;Ovino;8261;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;32795;Suíno - matrizes de suínos;14735;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
2024;5002704;Campo Grande;MS;32794;Suíno - total;62979;;2026-09-18;https://apisidra.ibge.gov.br/values/t/3939/n6/5002704/v/all/p/2015-2024/c79/all?formato=json
