tema,indicador,periodo,categoria,codigo_categoria,valor,unidade,territorio,codigo_territorio,nivel_geografico,situacao_periodo,fonte,fonte_url,data_extracao,observacao
pecuaria,efetivo_rebanho_soma_5_especies,2023,Cinco espécies do painel,,776618,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,Cálculo sobre IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,"Soma de bovinos, suínos, caprinos, ovinos e galináceos; não é total de todas as espécies da PPM."
pecuaria,efetivo_rebanho_soma_5_especies,2024,Cinco espécies do painel,,806022,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,Cálculo sobre IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,"Soma de bovinos, suínos, caprinos, ovinos e galináceos; não é total de todas as espécies da PPM."
agricultura,area_plantada_ou_destinada_colheita,2015,Total,0,64287,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2015/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
agricultura,area_plantada_ou_destinada_colheita,2016,Total,0,75679,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2016/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
agricultura,area_plantada_ou_destinada_colheita,2017,Total,0,84434,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2017/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
agricultura,area_plantada_ou_destinada_colheita,2018,Total,0,95013,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2018/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
agricultura,area_plantada_ou_destinada_colheita,2019,Total,0,121036,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2019/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
agricultura,area_plantada_ou_destinada_colheita,2020,Total,0,121073,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2020/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
agricultura,area_plantada_ou_destinada_colheita,2021,Total,0,161219,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2021/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
agricultura,area_plantada_ou_destinada_colheita,2022,Total,0,165302,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2022/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
